CODIGO,PLANO_NUM,CL_XN_INI,CL_XN_FIN,CL_YN_INI,CL_YN_FIN,CR_XN_INI,CR_XN_FIN,CR_YN_INI,CR_YN_FIN,CALLES,CARRERAS
"V11, 0M3",4,411051000,411161000,000100000,005999999,430001000,430061000,105100000,115999999,De la Calle 105  hasta la Calle 116,De la Cra 0  hasta la Cra 6
"V11, 1M1",1,111061003,111161001,011100000,014999999,130111003,130151001,106100000,115999999,De la Calle 106 Par hasta la Calle 116 Impar,De la Cra 11 Impar hasta la Cra 15 Par
"V11, 1M2",1,111061003,111161001,015100000,018999999,130151003,130191001,106100000,115999999,De la Calle 106 Par hasta la Calle 116 Impar,De la Cra 15 Impar hasta la Cra 19 Par
"V11, 4M1",1,111081000,111161001,045100000,054882999,130451003,130548830,108100000,115999999,De la Calle 108  hasta la Calle 116 Impar,De la Cra 45 Impar hasta la Cra 54z
"V11, 4M2",1,111081000,111161001,055100000,059999999,130551000,130601001,108100000,115999999,De la Calle 108  hasta la Calle 116 Impar,De la Cra 55  hasta la Cra 60 Par
"V11, 6M1",1,111061003,111178830,060100000,071999999,130601003,130721001,106100000,117882999,De la Calle 106 Par hasta la Calle 117z,De la Cra 60 Impar hasta la Cra 72 Par
"V11, 6M2",1,111181000,111271001,060100000,071999999,130601003,130721001,118100000,126999999,De la Calle 118  hasta la Calle 127 Impar,De la Cra 60 Impar hasta la Cra 72 Par
"V11, 6M3",1,111181000,111268830,072100000,075882999,130721003,130758830,118100000,126882999,De la Calle 118  hasta la Calle 126z,De la Cra 72 Impar hasta la Cra 75z
"V12, 0M1",1,111161003,111271001,009100000,010999999,130091003,130111001,116100000,126999999,De la Calle 116 Par hasta la Calle 127 Impar,De la Cra 9 Impar hasta la Cra 11 Par
"V12, 0M2",1,111161003,111271001,007100000,008999999,130071003,130091001,116100000,126999999,De la Calle 116 Par hasta la Calle 127 Impar,De la Cra 7 Impar hasta la Cra 9 Par
"V12, 0M3",1,111161003,111271001,001100000,006999999,130011000,130071001,116100000,126999999,De la Calle 116 Par hasta la Calle 127 Impar,De la Cra 1  hasta la Cra 7 Par
"V12, 0M4",4,411171000,411271000,000100000,005999999,430001000,430061000,117100000,126999999,De la Calle 117  hasta la Calle 127,De la Cra 0  hasta la Cra 6
"V12, 1M2",1,111161003,111218830,011100000,014999999,130111003,130151001,116100000,121882999,De la Calle 116 Par hasta la Calle 121z,De la Cra 11 Impar hasta la Cra 15 Par
"V12, 1M3",1,111221000,111271001,011100000,014999999,130111003,130151001,122100000,126999999,De la Calle 122  hasta la Calle 127 Impar,De la Cra 11 Impar hasta la Cra 15 Par
"V12, 2M1",1,111161003,111278831,015100000,018999999,130151003,130191001,116100000,127882999,De la Calle 116 Par hasta la Calle 127z Impa,De la Cra 15 Impar hasta la Cra 19 Par
"V12, 2M2",1,111271003,111341001,009100000,018999999,130091003,130191001,127100000,133999999,De la Calle 127 Par hasta la Calle 134 Impar,De la Cra 9 Impar hasta la Cra 19 Par
"V12, 4M1",1,111161003,111271001,045100000,054882999,130451003,130548830,116100000,126999999,De la Calle 116 Par hasta la Calle 127 Impar,De la Cra 45 Impar hasta la Cra 54z
"V12, 4M2",1,111161003,111271001,055100000,059999999,130551000,130601001,116100000,126999999,De la Calle 116 Par hasta la Calle 127 Impar,De la Cra 55  hasta la Cra 60 Par
"V12, 5M1",1,111271003,111291001,045100000,054882999,130451003,130548830,127100000,128999999,De la Calle 127 Par hasta la Calle 129 Impar,De la Cra 45 Impar hasta la Cra 54z
"V12, 5M2",1,111271003,111291001,055100000,057882999,130551000,130578830,127100000,128999999,De la Calle 127 Par hasta la Calle 129 Impar,De la Cra 55  hasta la Cra 57z
"V12, 6M1",1,111271003,111291001,058100000,059999999,130581000,130601001,127100000,128999999,De la Calle 127 Par hasta la Calle 129 Impar,De la Cra 58  hasta la Cra 60 Par
"V12, 6M2",1,111271003,111291001,060100000,071999999,130601003,130721001,127100000,128999999,De la Calle 127 Par hasta la Calle 129 Impar,De la Cra 60 Impar hasta la Cra 72 Par
"V12, 7M1",1,111271000,111288830,072100000,081882999,130721003,130818830,127100000,128882999,De la Calle 127  hasta la Calle 128z,De la Cra 72 Impar hasta la Cra 81z
"V12, 7M2",1,111311870,111448830,076100000,090882999,130761000,130908830,131187000,144882999,De la Calle 131c  hasta la Calle 144z,De la Cra 76  hasta la Cra 90z
"V12, 7M2",1,111291000,111311590,076100000,083882999,130761000,130838830,129100000,131158999,De la Calle 129  hasta la Calle 131bbis,De la Cra 76  hasta la Cra 83z
